year,tournament_id,match_id,match_date,stage_name,group_name,city_name,country_name,home_team_name,home_team_code,away_team_name,away_team_code,home_team_score,away_team_score,score,result,total_goals,goal_margin,group_stage,knockout_stage,extra_time,penalty_shootout,is_final,is_semifinal,winner,host_country,host_won,champion_in_match,host_in_match
1930,WC-1930,M-1930-01,1930-07-13,group stage,Group 1,Montevideo,Uruguay,France,FRA,Mexico,MEX,4,1,4–1,home team win,5,3,1,0,0,0,0,0,Uruguay,Uruguay,1,0,0
1930,WC-1930,M-1930-02,1930-07-13,group stage,Group 4,Montevideo,Uruguay,United States,USA,Belgium,BEL,3,0,3–0,home team win,3,3,1,0,0,0,0,0,Uruguay,Uruguay,1,0,0
1930,WC-1930,M-1930-03,1930-07-14,group stage,Group 2,Montevideo,Uruguay,Yugoslavia,YUG,Brazil,BRA,2,1,2–1,home team win,3,1,1,0,0,0,0,0,Uruguay,Uruguay,1,0,0
1930,WC-1930,M-1930-04,1930-07-14,group stage,Group 3,Montevideo,Uruguay,Romania,ROU,Peru,PER,3,1,3–1,home team win,4,2,1,0,0,0,0,0,Uruguay,Uruguay,1,0,0
1930,WC-1930,M-1930-05,1930-07-15,group stage,Group 1,Montevideo,Uruguay,Argentina,ARG,France,FRA,1,0,1–0,home team win,1,1,1,0,0,0,0,0,Uruguay,Uruguay,1,0,0
1930,WC-1930,M-1930-06,1930-07-16,group stage,Group 1,Montevideo,Uruguay,Chile,CHL,Mexico,MEX,3,0,3–0,home team win,3,3,1,0,0,0,0,0,Uruguay,Uruguay,1,0,0
1930,WC-1930,M-1930-07,1930-07-17,group stage,Group 2,Montevideo,Uruguay,Yugoslavia,YUG,Bolivia,BOL,4,0,4–0,home team win,4,4,1,0,0,0,0,0,Uruguay,Uruguay,1,0,0
1930,WC-1930,M-1930-08,1930-07-17,group stage,Group 4,Montevideo,Uruguay,United States,USA,Paraguay,PRY,3,0,3–0,home team win,3,3,1,0,0,0,0,0,Uruguay,Uruguay,1,0,0
1930,WC-1930,M-1930-09,1930-07-18,group stage,Group 3,Montevideo,Uruguay,Uruguay,URY,Peru,PER,1,0,1–0,home team win,1,1,1,0,0,0,0,0,Uruguay,Uruguay,1,1,1
1930,WC-1930,M-1930-10,1930-07-19,group stage,Group 1,Montevideo,Uruguay,Chile,CHL,France,FRA,1,0,1–0,home team win,1,1,1,0,0,0,0,0,Uruguay,Uruguay,1,0,0
1930,WC-1930,M-1930-11,1930-07-19,group stage,Group 1,Montevideo,Uruguay,Argentina,ARG,Mexico,MEX,6,3,6–3,home team win,9,3,1,0,0,0,0,0,Uruguay,Uruguay,1,0,0
1930,WC-1930,M-1930-12,1930-07-20,group stage,Group 2,Montevideo,Uruguay,Brazil,BRA,Bolivia,BOL,4,0,4–0,home team win,4,4,1,0,0,0,0,0,Uruguay,Uruguay,1,0,0
1930,WC-1930,M-1930-13,1930-07-20,group stage,Group 4,Montevideo,Uruguay,Paraguay,PRY,Belgium,BEL,1,0,1–0,home team win,1,1,1,0,0,0,0,0,Uruguay,Uruguay,1,0,0
1930,WC-1930,M-1930-14,1930-07-21,group stage,Group 3,Montevideo,Uruguay,Uruguay,URY,Romania,ROU,4,0,4–0,home team win,4,4,1,0,0,0,0,0,Uruguay,Uruguay,1,1,1
1930,WC-1930,M-1930-15,1930-07-22,group stage,Group 1,Montevideo,Uruguay,Argentina,ARG,Chile,CHL,3,1,3–1,home team win,4,2,1,0,0,0,0,0,Uruguay,Uruguay,1,0,0
1930,WC-1930,M-1930-16,1930-07-26,semi-finals,not applicable,Montevideo,Uruguay,Argentina,ARG,United States,USA,6,1,6–1,home team win,7,5,0,1,0,0,0,1,Uruguay,Uruguay,1,0,0
1930,WC-1930,M-1930-17,1930-07-27,semi-finals,not applicable,Montevideo,Uruguay,Uruguay,URY,Yugoslavia,YUG,6,1,6–1,home team win,7,5,0,1,0,0,0,1,Uruguay,Uruguay,1,1,1
1930,WC-1930,M-1930-18,1930-07-30,final,not applicable,Montevideo,Uruguay,Uruguay,URY,Argentina,ARG,4,2,4–2,home team win,6,2,0,1,0,0,1,0,Uruguay,Uruguay,1,1,1
1934,WC-1934,M-1934-01,1934-05-27,round of 16,not applicable,Turin,Italy,Austria,AUT,France,FRA,3,2,3–2,home team win,5,1,0,1,1,0,0,0,Italy,Italy,1,0,0
1934,WC-1934,M-1934-02,1934-05-27,round of 16,not applicable,Trieste,Italy,Czechoslovakia,CSK,Romania,ROU,2,1,2–1,home team win,3,1,0,1,0,0,0,0,Italy,Italy,1,0,0
1934,WC-1934,M-1934-03,1934-05-27,round of 16,not applicable,Florence,Italy,Germany,DEU,Belgium,BEL,5,2,5–2,home team win,7,3,0,1,0,0,0,0,Italy,Italy,1,0,0
1934,WC-1934,M-1934-04,1934-05-27,round of 16,not applicable,Naples,Italy,Hungary,HUN,Egypt,EGY,4,2,4–2,home team win,6,2,0,1,0,0,0,0,Italy,Italy,1,0,0
1934,WC-1934,M-1934-05,1934-05-27,round of 16,not applicable,Rome,Italy,Italy,ITA,United States,USA,7,1,7–1,home team win,8,6,0,1,0,0,0,0,Italy,Italy,1,1,1
1934,WC-1934,M-1934-06,1934-05-27,round of 16,not applicable,Genoa,Italy,Spain,ESP,Brazil,BRA,3,1,3–1,home team win,4,2,0,1,0,0,0,0,Italy,Italy,1,0,0
1934,WC-1934,M-1934-07,1934-05-27,round of 16,not applicable,Bologna,Italy,Sweden,SWE,Argentina,ARG,3,2,3–2,home team win,5,1,0,1,0,0,0,0,Italy,Italy,1,0,0
1934,WC-1934,M-1934-08,1934-05-27,round of 16,not applicable,Milan,Italy,Switzerland,CHE,Netherlands,NLD,3,2,3–2,home team win,5,1,0,1,0,0,0,0,Italy,Italy,1,0,0
1934,WC-1934,M-1934-09,1934-05-31,quarter-finals,not applicable,Bologna,Italy,Austria,AUT,Hungary,HUN,2,1,2–1,home team win,3,1,0,1,0,0,0,0,Italy,Italy,1,0,0
1934,WC-1934,M-1934-10,1934-05-31,quarter-finals,not applicable,Turin,Italy,Czechoslovakia,CSK,Switzerland,CHE,3,2,3–2,home team win,5,1,0,1,0,0,0,0,Italy,Italy,1,0,0
1934,WC-1934,M-1934-11,1934-05-31,quarter-finals,not applicable,Milan,Italy,Germany,DEU,Sweden,SWE,2,1,2–1,home team win,3,1,0,1,0,0,0,0,Italy,Italy,1,0,0
