team_id,team_name,team_code,region_name,confederation_name,confederation_code,mens_team
T-01,Algeria,DZA,Africa,Confederation of African Football,CAF,1
T-02,Angola,AGO,Africa,Confederation of African Football,CAF,1
T-03,Argentina,ARG,South America,South American Football Confederation,CONMEBOL,1
T-04,Australia,AUS,Oceania,Asian Football Confederation,AFC,1
T-05,Austria,AUT,Europe,Union of European Football Associations,UEFA,1
T-06,Belgium,BEL,Europe,Union of European Football Associations,UEFA,1
T-07,Bolivia,BOL,South America,South American Football Confederation,CONMEBOL,1
T-08,Bosnia and Herzegovina,BIH,Europe,Union of European Football Associations,UEFA,1
T-09,Brazil,BRA,South America,South American Football Confederation,CONMEBOL,1
T-10,Bulgaria,BGR,Europe,Union of European Football Associations,UEFA,1
T-11,Cameroon,CMR,Africa,Confederation of African Football,CAF,1
T-12,Canada,CAN,North America,"Confederation of North, Central American and Caribbean Association Football",CONCACAF,1
T-13,Chile,CHL,South America,South American Football Confederation,CONMEBOL,1
T-14,China,CHN,East Asia,Asian Football Confederation,AFC,1
T-16,Colombia,COL,South America,South American Football Confederation,CONMEBOL,1
T-17,Costa Rica,CRI,Central America,"Confederation of North, Central American and Caribbean Association Football",CONCACAF,1
T-18,Croatia,HRV,Europe,Union of European Football Associations,UEFA,1
T-19,Cuba,CUB,Caribbean,"Confederation of North, Central American and Caribbean Association Football",CONCACAF,1
T-20,Czech Republic,CZE,Europe,Union of European Football Associations,UEFA,1
T-21,Czechoslovakia,CSK,Europe,Union of European Football Associations,UEFA,1
T-22,Denmark,DNK,Europe,Union of European Football Associations,UEFA,1
T-23,Dutch East Indies,IDN,South East Asia,Asian Football Confederation,AFC,1
T-24,East Germany,DDR,Europe,Union of European Football Associations,UEFA,1
T-25,Ecuador,ECU,South America,South American Football Confederation,CONMEBOL,1
T-26,Egypt,EGY,Africa,Confederation of African Football,CAF,1
T-27,El Salvador,SLV,Central America,"Confederation of North, Central American and Caribbean Association Football",CONCACAF,1
T-28,England,ENG,Europe,Union of European Football Associations,UEFA,1
T-30,France,FRA,Europe,Union of European Football Associations,UEFA,1
T-31,Germany,DEU,Europe,Union of European Football Associations,UEFA,1
T-32,Ghana,GHA,Africa,Confederation of African Football,CAF,1
T-33,Greece,GRC,Europe,Union of European Football Associations,UEFA,1
T-34,Haiti,HTI,Caribbean,"Confederation of North, Central American and Caribbean Association Football",CONCACAF,1
T-35,Honduras,HND,Central America,"Confederation of North, Central American and Caribbean Association Football",CONCACAF,1
T-36,Hungary,HUN,Europe,Union of European Football Associations,UEFA,1
T-37,Iceland,ISL,Europe,Union of European Football Associations,UEFA,1
T-38,Iran,IRN,Middle East,Asian Football Confederation,AFC,1
T-39,Iraq,IRQ,Middle East,Asian Football Confederation,AFC,1
T-40,Israel,ISR,Middle East,Union of European Football Associations,UEFA,1
T-41,Italy,ITA,Europe,Union of European Football Associations,UEFA,1
T-42,Ivory Coast,CIV,Africa,Confederation of African Football,CAF,1
T-43,Jamaica,JAM,Caribbean,"Confederation of North, Central American and Caribbean Association Football",CONCACAF,1
T-44,Japan,JPN,East Asia,Asian Football Confederation,AFC,1
T-45,Kuwait,KWT,Middle East,Asian Football Confederation,AFC,1
T-46,Mexico,MEX,North America,"Confederation of North, Central American and Caribbean Association Football",CONCACAF,1
